,t_count,concept,d_count,tf,idf,tf_idf,weight,DSI-0,DSI-1,DSI-2,DSI-3,DSI-4,DSI-5,DSI-6,DSI-7,DSI-8,DSI-9,DSI-10,DSI-11,DSI-12,DSI-13,DSI-14,DSI-15,DSI-16,DSI-17,DSI-18,DSI-19,DSI-20,DSI-21,DSI-22,DSI-23,DSI-24,DSI-25
donaldTrump,147,presidentDonaldTrump,19,0.07375815353738083,0.136219747017989,0.010047317015376006,1.0,0.046153846153846156,,0.13793103448275862,0.12987012987012986,0.0966183574879227,,0.027777777777777776,,,0.08888888888888889,0.1111111111111111,,,0.17346938775510204,0.08620689655172414,0.23076923076923078,,0.016666666666666666,0.2542372881355932,0.09375,0.029850746268656716,0.04672897196261682,0.03278688524590164,0.13095238095238096,0.1919191919191919,0.036036036036036036
campaign,52,election,14,0.02609131961866533,0.26884531229257996,0.007014528971005599,1.0,0.015384615384615385,0.08614232209737828,0.017241379310344827,0.012987012987012988,0.00966183574879227,,,,,0.06666666666666667,,0.030927835051546393,0.125,0.01020408163265306,0.02586206896551724,,0.034482758620689655,0.05,0.05084745762711865,,,,,,,0.009009009009009009
democrat,50,democrat,14,0.025087807325639738,0.26884531229257996,0.006744739395197691,1.0,,0.0299625468164794,,,0.004830917874396135,0.10810810810810811,0.1111111111111111,,0.07142857142857142,0.044444444444444446,,0.07216494845360824,,0.030612244897959183,,,0.13793103448275862,0.06666666666666667,,,,0.028037383177570093,0.08196721311475409,,0.020202020202020204,0.009009009009009009
election,44,election,13,0.02207727044656297,0.3010299956639812,0.006645920626801391,1.0,0.015384615384615385,0.033707865168539325,0.017241379310344827,,0.014492753623188406,,,,0.10714285714285714,0.022222222222222223,,,,,0.008620689655172414,,,0.06666666666666667,0.01694915254237288,,,0.07476635514018691,0.16393442622950818,,0.010101010101010102,0.009009009009009009
republican,34,republican,13,0.017059708981435023,0.3010299956639812,0.005135484120710166,1.0,,0.0149812734082397,,0.025974025974025976,0.033816425120772944,,,,0.10714285714285714,,,,,0.02040816326530612,,,0.06896551724137931,0.016666666666666666,0.01694915254237288,,0.014925373134328358,0.037383177570093455,0.04918032786885246,,0.030303030303030304,0.009009009009009009
cybersecurity,32,cyberSecurity,1,0.016056196688409432,1.414973347970818,0.022719090383876653,1.0,,0.1198501872659176,,,,,,,,,,,,,,,,,,,,,,,,
andrewMccabe,32,trumpStaff,3,0.016056196688409432,0.9378520932511555,0.015058337673877056,1.0,,,,,,,,,,,0.18518518518518517,,,0.02040816326530612,0.21551724137931033,,,,,,,,,,,
johnKasich,30,republican,3,0.015052684395383844,0.9378520932511555,0.014117191569259741,1.0,0.2923076923076923,,,,,,,,,,,,,,,,,,,,,,,,0.10101010101010101,0.009009009009009009
emmaGonzalez,28,violenceCrime,1,0.014049172102358254,1.414973347970818,0.019879204085892076,1.0,,,,,0.13526570048309178,,,,,,,,,,,,,,,,,,,,,
christinaHagan,28,republican,1,0.014049172102358254,1.414973347970818,0.019879204085892076,1.0,,,,,0.13526570048309178,,,,,,,,,,,,,,,,,,,,,
dccc,26,election,2,0.013045659809332665,1.1139433523068367,0.014532126021062597,1.0,,0.0599250936329588,,,,,,,,,,,,,,,,0.16666666666666666,,,,,,,,
fbi,25,lawEnforcement,5,0.012543903662819869,0.7160033436347992,0.008981476964811832,1.0,,0.018726591760299626,,,,,,,,,0.07407407407407407,,,0.02040816326530612,0.1206896551724138,,,,,,0.029850746268656716,,,,,
scottWalker,25,republican,3,0.012543903662819869,0.9378520932511555,0.01176432630771645,1.0,,,,,,,,,,,,,,,,,,,,,,0.056074766355140186,0.03278688524590164,,,0.15315315315315314
stormyDaniels,20,controversy,2,0.010035122930255895,1.1139433523068367,0.011178558477740458,1.0,,,0.22413793103448276,,,,,,,,,,,,,0.1794871794871795,,,,,,,,,,
gavinNewsom,20,democrat,1,0.010035122930255895,1.414973347970818,0.01419943148992291,1.0,,,,,,,,,,,,0.20618556701030927,,,,,,,,,,,,,,
twitter,20,controversy,11,0.010035122930255895,0.37358066281259295,0.0037489278756908475,1.0,,0.003745318352059925,,0.012987012987012988,0.024154589371980676,,,0.02564102564102564,,,,0.041237113402061855,,0.02040816326530612,0.008620689655172414,,,,0.01694915254237288,,0.014925373134328358,0.018691588785046728,,0.011904761904761904,,
voter,18,government,8,0.009031610637230306,0.5118833609788743,0.004623131208038002,1.0,,,,,0.014492753623188406,,0.027777777777777776,,,,,0.010309278350515464,0.020833333333333332,,,,,0.08333333333333333,,,,0.037383177570093455,0.01639344262295082,,0.020202020202020204,
staceyAbrams,17,democrat,2,0.008529854490717512,1.1139433523068367,0.00950177470607939,1.0,,,,,,0.02702702702702703,,,,,,,0.3333333333333333,,,,,,,,,,,,,
carolynMaloney,15,democrat,1,0.007526342197691922,1.414973347970818,0.010649573617442183,1.0,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,
amandaRenteria,14,democrat,1,0.007024586051179127,1.414973347970818,0.009939602042946038,1.0,,,,,,,,,,,,0.14432989690721648,,,,,,,,,,,,,,
wisconsin,14,unitedStates,4,0.007024586051179127,0.8129133566428556,0.005710379825890607,1.0,,,,,,0.02702702702702703,,,,,,,,,,,,,,,,0.028037383177570093,0.04918032786885246,,,0.06306306306306306
rubenKihuen,13,democrat,1,0.006522829904666332,1.414973347970818,0.00922963046844989,1.0,,,,,,,,,,,,,,,,,0.4482758620689655,,,,,,,,,
wickr,13,cyberSecurity,1,0.006522829904666332,1.414973347970818,0.00922963046844989,1.0,,0.04868913857677903,,,,,,,,,,,,,,,,,,,,,,,,
robertMueller,12,russiaElectionInterference,2,0.006021073758153537,1.1139433523068367,0.0067071350866442754,1.0,,,,,,,,,,,0.1111111111111111,,,0.09183673469387756,,,,,,,,,,,,
anthonyScaramucci,12,trumpStaff,1,0.006021073758153537,1.414973347970818,0.008519658893953745,1.0,,,,,0.057971014492753624,,,,,,,,,,,,,,,,,,,,,
michaelCohen,12,trumpStaff,2,0.006021073758153537,1.1139433523068367,0.0067071350866442754,1.0,,,0.1724137931034483,,,,,,,,,,,,,0.05128205128205128,,,,,,,,,,
white house,12,trumpStaff,6,0.006021073758153537,0.6368220975871743,0.0038343528203944265,1.0,0.046153846153846156,,,,0.004830917874396135,,,,,,,,,0.01020408163265306,,,,,0.06779661016949153,,0.014925373134328358,,,0.023809523809523808,,
justiceDepartment,12,judicial,5,0.006021073758153537,0.7160033436347992,0.004311108943109679,1.0,,,,,,,,,,,0.037037037037037035,,,0.01020408163265306,0.04310344827586207,,,,0.01694915254237288,,0.05970149253731343,,,,,
barackObama,12,formerPresident,8,0.006021073758153537,0.5118833609788743,0.0030820874720253345,1.0,,,,0.012987012987012988,,,0.027777777777777776,0.02564102564102564,,0.022222222222222223,,,,,,,,0.06666666666666667,,0.03125,0.029850746268656716,,,0.011904761904761904,,
mexico,12,foreignNation,1,0.006021073758153537,1.414973347970818,0.008519658893953745,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,,
rebeccaDallet,12,democrat,2,0.006021073758153537,1.1139433523068367,0.0067071350866442754,1.0,,,,,,,,,,,,,,,,,,,,,,0.07476635514018691,0.06557377049180328,,,
settlement,11,controversy,2,0.0055193176116407425,1.1139433523068367,0.006148207162757252,1.0,,,0.10344827586206896,,,,,,,,,,,,,0.1282051282051282,,,,,,,,,,
dnc,11,democrat,3,0.0055193176116407425,0.9378520932511555,0.0051763035753952386,1.0,,0.026217228464419477,,,,0.08108108108108109,,,,,,,,0.01020408163265306,,,,,,,,,,,,
jamesComey,11,russiaElectionInterference,3,0.0055193176116407425,0.9378520932511555,0.0051763035753952386,1.0,,,,,,,,,,,0.1111111111111111,,,0.02040816326530612,0.05172413793103448,,,,,,,,,,,
specialCounsel,10,russiaElectionInterference,3,0.005017561465127948,0.9378520932511555,0.00470573052308658,1.0,,,,,,,,,,,,,,0.05102040816326531,0.008620689655172414,,,,,,0.05970149253731343,,,,,
government,10,government,6,0.005017561465127948,0.6368220975871743,0.003195294016995355,1.0,,0.00749063670411985,,0.012987012987012988,,,,0.05128205128205128,,,0.037037037037037035,,,,,,,,,,,,,0.023809523809523808,,0.018018018018018018
hillaryClinton,10,democrat,8,0.005017561465127948,0.5118833609788743,0.002568406226687779,1.0,,0.00749063670411985,,,,0.02702702702702703,,0.02564102564102564,,0.022222222222222223,,0.010309278350515464,,,0.017241379310344827,,,,,,,0.009345794392523364,0.01639344262295082,,,
omarosaManigault,10,trumpStaff,1,0.005017561465127948,1.414973347970818,0.007099715744961455,1.0,,,,,,,,,,,,,,,,,,,0.1694915254237288,,,,,,,
michaelAvenatti,10,controversy,2,0.005017561465127948,1.1139433523068367,0.005589279238870229,1.0,,,0.10344827586206896,,,,,,,,,,,,,0.10256410256410256,,,,,,,,,,
johnBolton,10,trumpStaff,1,0.005017561465127948,1.414973347970818,0.007099715744961455,1.0,,,,0.12987012987012986,,,,,,,,,,,,,,,,,,,,,,
court,10,judicial,8,0.005017561465127948,0.5118833609788743,0.002568406226687779,1.0,,,0.017241379310344827,,0.004830917874396135,,,,0.10714285714285714,,,,,,,0.02564102564102564,,,,0.03125,0.014925373134328358,,0.01639344262295082,,,0.009009009009009009
facebook,10,privacy,3,0.005017561465127948,0.9378520932511555,0.00470573052308658,1.0,,0.011235955056179775,,,,,,0.15384615384615385,,,,0.010309278350515464,,,,,,,,,,,,,,
maryTaylor,10,democrat,1,0.005017561465127948,1.414973347970818,0.007099715744961455,1.0,0.15384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,
mikeDewine,10,republican,1,0.005017561465127948,1.414973347970818,0.007099715744961455,1.0,0.15384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,
california,9,unitedStates,6,0.004515805318615153,0.6368220975871743,0.0028757646152958198,1.0,,0.00749063670411985,0.017241379310344827,,0.004830917874396135,,0.027777777777777776,,,,,0.030927835051546393,,,,0.02564102564102564,,,,,,,,,,
atlanta,9,unitedStates,2,0.004515805318615153,1.1139433523068367,0.005030351314983206,1.0,,,,,,0.21621621621621623,,,,,,,0.020833333333333332,,,,,,,,,,,,,
johnDowd,9,trumpStaff,1,0.004515805318615153,1.414973347970818,0.0063897441704653096,1.0,,,,,,,,,,,,,,0.09183673469387756,,,,,,,,,,,,
extremeRight,9,extremeRight,4,0.004515805318615153,0.8129133566428556,0.0036709584595011036,1.0,,0.003745318352059925,,0.06493506493506493,,,,,,,,,,,0.008620689655172414,,,,,,,0.018691588785046728,,,,
firing,8,controversy,2,0.004014049172102358,1.1139433523068367,0.004471423391096184,1.0,,,,,,,,,,,,,,0.02040816326530612,0.05172413793103448,,,,,,,,,,,
shaunaDaly,8,democrat,1,0.004014049172102358,1.414973347970818,0.005679772595969163,1.0,,0.0299625468164794,,,,,,,,,,,,,,,,,,,,,,,,
kamalaHarris,7,democrat,1,0.0035122930255895636,1.414973347970818,0.004969801021473019,1.0,,,,,,,0.19444444444444445,,,,,,,,,,,,,,,,,,,
johnHuber,7,fbiMisconduct,1,0.0035122930255895636,1.414973347970818,0.004969801021473019,1.0,,,,,,,,,,,,,,,,,,,,,0.1044776119402985,,,,,
new york,7,unitedStates,5,0.0035122930255895636,0.7160033436347992,0.002514813550147313,1.0,,0.00749063670411985,,,,,,0.02564102564102564,,0.044444444444444446,,,,,,,,,,,,0.009345794392523364,,0.011904761904761904,,
metoo movement,7,civilRights,1,0.0035122930255895636,1.414973347970818,0.004969801021473019,1.0,,,,,,,,,,,,0.07216494845360824,,,,,,,,,,,,,,
investigation,7,russiaElectionInterference,3,0.0035122930255895636,0.9378520932511555,0.0032940113661606065,1.0,,,,,0.004830917874396135,,,,,,,,,0.030612244897959183,0.02586206896551724,,,,,,,,,,,
russia,7,russiaElectionInterference,1,0.0035122930255895636,1.414973347970818,0.004969801021473019,1.0,,0.026217228464419477,,,,,,,,,,,,,,,,,,,,,,,,
congress,7,government,5,0.0035122930255895636,0.7160033436347992,0.002514813550147313,1.0,,,,,0.004830917874396135,,,,,,,,0.020833333333333332,0.02040816326530612,,,0.034482758620689655,,,,0.029850746268656716,,,,,
michaelScrenock,7,republican,2,0.0035122930255895636,1.1139433523068367,0.0039124954672091605,1.0,,,,,,,,,,,,,,,,,,,,,,0.04672897196261682,0.03278688524590164,,,
immigration,6,immigration,3,0.0030105368790767687,0.9378520932511555,0.002823438313851948,1.0,,,,,0.004830917874396135,,,,,,,,,,,,,,,0.03125,,,,0.047619047619047616,,
georgeWBush,6,formerPresident,5,0.0030105368790767687,0.7160033436347992,0.0021555544715548395,1.0,,,,0.025974025974025976,,,,,,,,,,,,,,,0.01694915254237288,0.03125,,,,0.011904761904761904,0.010101010101010102,
jeffFlake,6,republican,1,0.0030105368790767687,1.414973347970818,0.004259829446976873,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.06060606060606061,
midterm,6,election,5,0.0030105368790767687,0.7160033436347992,0.0021555544715548395,1.0,,0.003745318352059925,,,0.004830917874396135,,,,0.03571428571428571,,,,,,,,,,,,,0.009345794392523364,0.03278688524590164,,,
reelection,5,election,4,0.002508780732563974,0.8129133566428556,0.002039421366389502,1.0,,0.003745318352059925,,,,,,,,,,,,,,,0.034482758620689655,,,,,0.009345794392523364,,,,0.018018018018018018
business,5,economy,4,0.002508780732563974,0.8129133566428556,0.002039421366389502,1.0,,,,,0.00966183574879227,,,0.02564102564102564,,0.022222222222222223,,,,,,,,,0.01694915254237288,,,,,,,
nevada,5,unitedStates,1,0.002508780732563974,1.414973347970818,0.0035498578724807274,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.04504504504504504
world,5,internationalPolitics,3,0.002508780732563974,0.9378520932511555,0.00235286526154329,1.0,,0.003745318352059925,,0.025974025974025976,,,,0.05128205128205128,,,,,,,,,,,,,,,,,,
markPenn,5,democrat,1,0.002508780732563974,1.414973347970818,0.0035498578724807274,1.0,,,,,,,,0.1282051282051282,,,,,,,,,,,,,,,,,,
stephenReinhardt,5,judicial,1,0.002508780732563974,1.414973347970818,0.0035498578724807274,1.0,,,,,,,,,,,,,,,,,,,,0.15625,,,,,,
fundraiser,5,election,2,0.002508780732563974,1.1139433523068367,0.0027946396194351146,1.0,,,,,0.014492753623188406,,,,,,,,,,,,,,,,,,,,,0.018018018018018018
bernieSanders,5,independent,4,0.002508780732563974,0.8129133566428556,0.002039421366389502,1.0,,,,,,,0.05555555555555555,,,,,,,,,,,0.016666666666666666,,,,,,,0.010101010101010102,0.009009009009009009
joeBiden,5,formerPresident,2,0.002508780732563974,1.1139433523068367,0.0027946396194351146,1.0,,,,,,,,,,,,,,,,,,,,,,0.009345794392523364,,,0.04040404040404041,
judge,5,judicial,2,0.002508780732563974,1.1139433523068367,0.0027946396194351146,1.0,,,,,,,,,,,,,,,,,,,,0.09375,,,0.03278688524590164,,,
stephenBoyd,5,government,1,0.002508780732563974,1.414973347970818,0.0035498578724807274,1.0,,,,,,,,,,,,,,,,,,,,,0.07462686567164178,,,,,
pennsylvania,5,unitedStates,4,0.002508780732563974,0.8129133566428556,0.002039421366389502,1.0,,,,,0.00966183574879227,,,,0.03571428571428571,,,,,,,,,0.016666666666666666,,,,,0.01639344262295082,,,
georgia,5,unitedStates,2,0.002508780732563974,1.1139433523068367,0.0027946396194351146,1.0,,,,,,0.05405405405405406,,,,,,,0.0625,,,,,,,,,,,,,
robbyMook,5,democrat,1,0.002508780732563974,1.414973347970818,0.0035498578724807274,1.0,,0.018726591760299626,,,,,,,,,,,,,,,,,,,,,,,,
dollar,5,economy,3,0.002508780732563974,0.9378520932511555,0.00235286526154329,1.0,,,,,,,,,,,,,,,,0.02564102564102564,,0.05,,,,,0.01639344262295082,,,
ginaHaspel,5,trumpStaff,1,0.002508780732563974,1.414973347970818,0.0035498578724807274,1.0,,,,0.06493506493506493,,,,,,,,,,,,,,,,,,,,,,
rubyRippeyGibney,5,civilRights,1,0.002508780732563974,1.414973347970818,0.0035498578724807274,1.0,,,,,,,,,,,,0.05154639175257732,,,,,,,,,,,,,,
law,4,judicial,2,0.002007024586051179,1.1139433523068367,0.002235711695548092,1.0,,,,,,,,,,,,,,,,,,,,,0.029850746268656716,,,0.023809523809523808,,
joelWallenstrom,4,privacy,1,0.002007024586051179,1.414973347970818,0.0028398862979845817,1.0,,0.0149812734082397,,,,,,,,,,,,,,,,,,,,,,,,
conorLamb,4,democrat,1,0.002007024586051179,1.414973347970818,0.0028398862979845817,1.0,,,,,,,,,,,,,,,,,,0.06666666666666667,,,,,,,,
supreme court,4,judicial,3,0.002007024586051179,0.9378520932511555,0.001882292209234632,1.0,,,,,,,0.027777777777777776,,,,,,,,,,,,,0.03125,,,0.03278688524590164,,,
USAttorney,4,judicial,1,0.002007024586051179,1.414973347970818,0.0028398862979845817,1.0,,,,,,,,,,,,,,,,,,,,,0.05970149253731343,,,,,
vote,4,election,3,0.002007024586051179,0.9378520932511555,0.001882292209234632,1.0,,,,,0.004830917874396135,,,,,,,0.010309278350515464,,,,,,,,,,0.018691588785046728,,,,
microsoft,4,economy,1,0.002007024586051179,1.414973347970818,0.0028398862979845817,1.0,,,,,,,,0.10256410256410256,,,,,,,,,,,,,,,,,,
russianIntelligence,4,russiaElectionInterference,1,0.002007024586051179,1.414973347970818,0.0028398862979845817,1.0,,0.0149812734082397,,,,,,,,,,,,,,,,,,,,,,,,
USOfficial,4,government,1,0.002007024586051179,1.414973347970818,0.0028398862979845817,1.0,,0.0149812734082397,,,,,,,,,,,,,,,,,,,,,,,,
politicalMailer,4,controversy,1,0.002007024586051179,1.414973347970818,0.0028398862979845817,1.0,0.06153846153846154,,,,,,,,,,,,,,,,,,,,,,,,,
intelligence,4,intelligence,2,0.002007024586051179,1.1139433523068367,0.002235711695548092,1.0,,0.011235955056179775,,,,,,,,,,,,0.01020408163265306,,,,,,,,,,,,
politician,4,government,4,0.002007024586051179,0.8129133566428556,0.0016315370931116017,1.0,,0.003745318352059925,,,,,,0.02564102564102564,,,,0.010309278350515464,,,,,,,,,,,0.01639344262295082,,,
democracy,4,government,3,0.002007024586051179,0.9378520932511555,0.001882292209234632,1.0,,0.003745318352059925,,0.012987012987012988,,,,,,,,,,,0.017241379310344827,,,,,,,,,,,
poll,4,opinionPolls,3,0.002007024586051179,0.9378520932511555,0.001882292209234632,1.0,0.015384615384615385,,,,,,0.027777777777777776,,,,,,,,,,,,,,,0.018691588785046728,,,,
new hampshire,4,unitedStates,1,0.002007024586051179,1.414973347970818,0.0028398862979845817,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.04040404040404041,
senate,4,government,3,0.002007024586051179,0.9378520932511555,0.001882292209234632,1.0,,0.00749063670411985,,,0.004830917874396135,,,,,,,,,,,,,,,,,,,,0.010101010101010102,
jeffSessions,4,trumpStaff,4,0.002007024586051179,0.8129133566428556,0.0016315370931116017,1.0,,,,,,,,,,,0.037037037037037035,,,0.01020408163265306,0.008620689655172414,,,,,,0.014925373134328358,,,,,
unitedStates,4,unitedStates,3,0.002007024586051179,0.9378520932511555,0.001882292209234632,1.0,,,,,,,,,,0.022222222222222223,,,,,,,,,,,0.014925373134328358,,,0.023809523809523808,,
elizabethWarren,4,democrat,2,0.002007024586051179,1.1139433523068367,0.002235711695548092,1.0,,,,,,,,,,,,,,,,,,0.016666666666666666,,,,,,,0.030303030303030304,
campaign manager,4,election,2,0.002007024586051179,1.1139433523068367,0.002235711695548092,1.0,,0.011235955056179775,,,,,,,,,,0.010309278350515464,,,,,,,,,,,,,,
brittanieMountz,4,civilRights,1,0.002007024586051179,1.414973347970818,0.0028398862979845817,1.0,,,,,,,,,,,,0.041237113402061855,,,,,,,,,,,,,,
pac,4,election,4,0.002007024586051179,0.8129133566428556,0.0016315370931116017,1.0,0.015384615384615385,0.003745318352059925,,,,,,,,0.022222222222222223,,,,,0.008620689655172414,,,,,,,,,,,
