,t_count,concept,d_count,tf,idf,tf_idf,weight,DSI-0,DSI-1,DSI-2,DSI-3,DSI-4,DSI-5,DSI-6,DSI-7,DSI-8,DSI-9,DSI-10,DSI-11,DSI-12,DSI-13,DSI-14,DSI-15,DSI-16,DSI-17,DSI-18,DSI-19,DSI-20,DSI-21,DSI-22,DSI-23,DSI-24,DSI-25,DSI-26,DSI-27,DSI-28,DSI-29,DSI-30,DSI-31,DSI-32,DSI-33,DSI-34,DSI-35,DSI-36,DSI-37,DSI-38,DSI-39,DSI-40,DSI-41,DSI-42,DSI-43,DSI-44,DSI-45,DSI-46,DSI-47,DSI-48,DSI-49,DSI-50,DSI-51,DSI-52,DSI-53,DSI-54,DSI-55,DSI-56
constitution,12,judicial,6,0.0024671052631578946,0.9777236052888477,0.002412147052521828,1.0,,,,,,,0.0050335570469798654,0.03076923076923077,,,,,,,,,0.014184397163120567,,,,,,,,,,,,,0.012987012987012988,,,,,,,0.002369668246445498,,,,,,,,,,,0.02040816326530612,,,,,,,,,
senate,11,government,8,0.002261513157894737,0.8527848686805478,0.0019285842013745942,1.0,,,,,0.01282051282051282,,0.003355704697986577,,,,,,0.010638297872340425,,,,0.0035460992907801418,,,,,,0.02,,,,,,,,,,,,,,0.0071090047393364926,0.02,,,,0.010752688172043012,,,,,,,,,,,,,,,
twitter,11,controversy,8,0.002261513157894737,0.8527848686805478,0.0019285842013745942,1.0,,,,,0.01282051282051282,0.00821917808219178,,,,,,0.019230769230769232,,0.037037037037037035,,,,0.018867924528301886,,,,,,,,,,,,,,0.034482758620689655,,,,,,0.02,,,,,,,,,,,,,,,,,,,0.012195121951219513
tariff,11,foreignTrade,3,0.002261513157894737,1.2787536009528289,0.0028919180942600983,1.0,,,,,,0.0027397260273972603,,,,,,,,,0.009900990099009901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08108108108108109,,,,
stephenReinhardt,11,judicial,1,0.002261513157894737,1.7558748556724915,0.0039709340897198615,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,
prosecutor,11,judicial,4,0.002261513157894737,1.153814864344529,0.002609367497489683,1.0,,,,,,,,,,,,,0.07446808510638298,,,,,,,0.019230769230769232,,,,,,,,,,,,,,,,,0.002369668246445498,,,,,,0.009523809523809525,,,,,,,,,,,,,,
facebook,11,privacy,3,0.002261513157894737,1.2787536009528289,0.0028919180942600983,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09230769230769231,,,,,,,,0.009478672985781991,,,,,,,,,,,,,,,,0.009009009009009009,,,,
amendment,11,judicial,3,0.002261513157894737,1.2787536009528289,0.0028919180942600983,1.0,,,,,,,0.01174496644295302,,,,,,,,,,0.0035460992907801418,,,,,,,,,,,,,,,,,,,,0.0071090047393364926,,,,,,,,,,,,,,,,,,,,
amazon,11,economy,3,0.002261513157894737,1.2787536009528289,0.0028919180942600983,1.0,,,,,,,0.01174496644295302,,,,,,,,,,,0.05660377358490566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009009009009009009,,,,
migrant,11,immigration,4,0.002261513157894737,1.153814864344529,0.002609367497489683,1.0,,,,,,,0.0016778523489932886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06896551724137931,,,,,,,,0.021739130434782608,,,,,0.024390243902439025
johnHuber,10,fbiMisconduct,3,0.002055921052631579,1.2787536009528289,0.002629016449327362,1.0,,,,,,,,,,,,,0.0851063829787234,,,,,,,,,,,,,,,,,,,,,,,,0.002369668246445498,,,,,,0.009523809523809525,,,,,,,,,,,,,,
soldier,10,war,2,0.002055921052631579,1.4548448600085102,0.002991046176004338,1.0,,,,,,,,,,,,,,,0.009900990099009901,,,,,,,,,,,,,,,,,,,,0.10112359550561797,,,,,,,,,,,,,,,,,,,,,,
kimJongUn,10,foreignLeader,7,0.002055921052631579,0.9107768156582345,0.001872485229560515,1.0,,,,,,0.0027397260273972603,0.0016778523489932886,,,,,,,,0.009900990099009901,,,,,,,,,,,,,,,,,0.10344827586206896,,,,,0.002369668246445498,,,,,,,,,0.03076923076923077,0.016129032258064516,,,,,,,,,,
inspector general,10,judicial,6,0.002055921052631579,0.9777236052888477,0.0020101225437681902,1.0,,,,,,,0.0016778523489932886,,,0.020618556701030927,,,0.02127659574468085,,,,,,,,,,,,,,0.01694915254237288,,,,,,0.021739130434782608,,,,,,,,,,0.02857142857142857,,,,,,,,,,,,,,
voter,10,government,6,0.002055921052631579,0.9777236052888477,0.0020101225437681902,1.0,,,,,,,0.0016778523489932886,,,,,,,,,,0.0035460992907801418,,,,,,,,,,,,0.046153846153846156,,,,,,,,0.002369668246445498,,,,,,,,,,,0.061224489795918366,,,,,,,0.0136986301369863,,
investigator,10,russiaElectionInterference,4,0.002055921052631579,1.153814864344529,0.0023721522704451665,1.0,0.056451612903225805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021739130434782608,,,,0.002369668246445498,,,,,,0.009523809523809525,,,,,,,,,,,,,,
doj,9,judicial,3,0.001850328947368421,1.2787536009528289,0.0023661148043946255,1.0,,,,,,,0.003355704697986577,,,0.05154639175257732,,,0.02127659574468085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stormyDaniels,9,controversy,2,0.001850328947368421,1.4548448600085102,0.0026919415584039045,1.0,,,,,,,,,,,,,,,,,0.0035460992907801418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19047619047619047,
trade,9,foreignTrade,3,0.001850328947368421,1.2787536009528289,0.0023661148043946255,1.0,,,,,,,0.0016778523489932886,,,,,,,,0.0297029702970297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04504504504504504,,,,
lindseyGraham,9,republican,4,0.001850328947368421,1.153814864344529,0.0021349370434006498,1.0,,,0.009615384615384616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002369668246445498,,,,,,,,,0.07692307692307693,,,,,,,0.018018018018018018,,,,
california,9,unitedStates,6,0.001850328947368421,0.9777236052888477,0.0018091102893913712,1.0,,,,,,,0.0016778523489932886,,,,,,,,0.009900990099009901,,,,,,,,,,,,,,,0.025974025974025976,0.02631578947368421,,,,,,,,,,,,,,0.058823529411764705,,,,,,,,,,,,0.012195121951219513
harryReid,8,democrat,1,0.001644736842105263,1.7558748556724915,0.0028879520652508083,1.0,0.06451612903225806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthonyScaramucci,8,trumpStaff,1,0.001644736842105263,1.7558748556724915,0.0028879520652508083,1.0,,,,,,0.021917808219178082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paulManafort,8,russiaElectionInterference,2,0.001644736842105263,1.4548448600085102,0.0023928369408034705,1.0,,,,,,,0.010067114093959731,,0.05405405405405406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
controversy,8,controversy,8,0.001644736842105263,0.8527848686805478,0.0014026066919087957,1.0,,,0.009615384615384616,,,,0.0016778523489932886,,,,,,,,,,,0.018867924528301886,0.03571428571428571,,,,,,,,,,0.015384615384615385,,,,0.021739130434782608,0.014492753623188406,,,0.002369668246445498,,,,,,,,,,,,,,,,,,,,
iran,8,middleEast,1,0.001644736842105263,1.7558748556724915,0.0028879520652508083,1.0,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
administration official,8,trumpStaff,3,0.001644736842105263,1.2787536009528289,0.0021032131594618895,1.0,,,,,,,,,,,,,,,,,0.010638297872340425,,,,,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021739130434782608,,,,,
army,8,war,2,0.001644736842105263,1.4548448600085102,0.0023928369408034705,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07865168539325842,,,,,,,0.010752688172043012,,,,,,,,,,,,,,,
doctor,8,healthcare,6,0.001644736842105263,0.9777236052888477,0.001608098035014552,1.0,,,0.019230769230769232,,0.01282051282051282,,,,,,,,,0.037037037037037035,,,0.0035460992907801418,,,,,,,,,,0.01694915254237288,,,0.012987012987012988,,,,,,,,,,,,,,,,,,,,,,,,,,,
rexTillerson,8,trumpStaff,3,0.001644736842105263,1.2787536009528289,0.0021032131594618895,1.0,,,0.009615384615384616,,,0.0136986301369863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03225806451612903,,,,,,,,,,
plaintiff,7,judicial,3,0.0014391447368421052,1.2787536009528289,0.0018403115145291533,1.0,,,,,,,,0.015384615384615385,,,,,,,,,,,,,,,,,,,,0.01694915254237288,,,,,,,,,,,,,,,,,,,,0.10204081632653061,,,,,,,,,
texas,7,unitedStates,3,0.0014391447368421052,1.2787536009528289,0.0018403115145291533,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002369668246445498,,,,,,,,,,,0.10204081632653061,,,,0.010869565217391304,,,,,
europeanUnion,7,europeanUnion,6,0.0014391447368421052,0.9777236052888477,0.001407085780637733,1.0,,,0.009615384615384616,0.02,,,,,,,0.030303030303030304,,,0.018518518518518517,,,,,,,,0.06060606060606061,,,,,0.01694915254237288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
business,7,economy,6,0.0014391447368421052,0.9777236052888477,0.001407085780637733,1.0,,,,,0.01282051282051282,,0.0016778523489932886,0.03076923076923077,,,,,,,,,,0.018867924528301886,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.009009009009009009,,,,
sarahHuckabeeSanders,7,trumpStaff,5,0.0014391447368421052,1.0569048513364727,0.0015210390541437724,1.0,,,,,,0.00821917808219178,0.0016778523489932886,,0.02702702702702703,,,0.019230769230769232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012195121951219513
extremeRight,7,extremeRight,4,0.0014391447368421052,1.153814864344529,0.0016605065893116164,1.0,,,,,,,0.0050335570469798654,,,,,,,,,,,0.03773584905660377,,,,,,,,,,,,,0.02631578947368421,,,,,,0.002369668246445498,,,,,,,,,,,,,,,,,,,,
white house official,7,trumpStaff,3,0.0014391447368421052,1.2787536009528289,0.0018403115145291533,1.0,,,,,,0.0136986301369863,,,,,,,,,,,0.0035460992907801418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012195121951219513
reelection,7,election,4,0.0014391447368421052,1.153814864344529,0.0016605065893116164,1.0,,,,,,,0.0016778523489932886,,,,,,,,,,0.0070921985815602835,,,,0.025,,,,,,,,,,,,,,,,0.0071090047393364926,,,,,,,,,,,,,,,,,,,,
drug,7,violenceCrime,4,0.0014391447368421052,1.153814864344529,0.0016605065893116164,1.0,,0.02857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011494252873563218,,,,,,,,0.03260869565217391,,,,,0.024390243902439025
johnDowd,7,trumpStaff,3,0.0014391447368421052,1.2787536009528289,0.0018403115145291533,1.0,,,,,,,0.003355704697986577,,0.08108108108108109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,
military,7,war,4,0.0014391447368421052,1.153814864344529,0.0016605065893116164,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02247191011235955,,,,,,,0.03225806451612903,,,,,,,,,,0.010869565217391304,,,,,0.012195121951219513
pennsylvania,7,unitedStates,4,0.0014391447368421052,1.153814864344529,0.0016605065893116164,1.0,,,,,0.01282051282051282,,0.0016778523489932886,,,,,,,,,,0.014184397163120567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009009009009009009,,,,
world,7,internationalPolitics,6,0.0014391447368421052,0.9777236052888477,0.001407085780637733,1.0,,,,,,,,,,,,,,,,,,,,,0.025,0.030303030303030304,,,,,,,,,,0.034482758620689655,,,,,0.004739336492890996,,,,,,,,,0.015384615384615385,0.016129032258064516,,,,,,,,,,
new york,7,unitedStates,6,0.0014391447368421052,0.9777236052888477,0.001407085780637733,1.0,,,,,0.01282051282051282,0.005479452054794521,,0.015384615384615385,,,,,,,,,0.0035460992907801418,,,,,,,,,,,0.01694915254237288,,0.012987012987012988,,,,,,,,,,,,,,,,,,,,,,,,,,,
hopeHicks,7,trumpStaff,2,0.0014391447368421052,1.4548448600085102,0.002093732323203037,1.0,,,,,,0.01643835616438356,,,,,,0.019230769230769232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teacher,7,education,1,0.0014391447368421052,1.7558748556724915,0.0025269580570944574,1.0,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oliviaNuzz,7,controversy,1,0.0014391447368421052,1.7558748556724915,0.0025269580570944574,1.0,,,,,,,,,,,,0.1346153846153846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nicholasGaraufis,7,judicial,1,0.0014391447368421052,1.7558748556724915,0.0025269580570944574,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11864406779661017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tonyBaker,6,controversy,4,0.0012335526315789473,1.153814864344529,0.0014232913622670997,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.03389830508474576,,,,,,,,,,,,0.025,0.002369668246445498,,,0.038461538461538464,,,,,,,,,,,,,,,,,
physician,6,healthcare,5,0.0012335526315789473,1.0569048513364727,0.001303747760694662,1.0,,,0.019230769230769232,,,0.0027397260273972603,0.0016778523489932886,,,,,,,0.018518518518518517,,,,,,,,,,,,,,,,,,,,0.014492753623188406,,,,,,,,,,,,,,,,,,,,,,,
intelligence,6,intelligence,5,0.0012335526315789473,1.0569048513364727,0.001303747760694662,1.0,,,,,,,0.0016778523489932886,,,,,,,,,,,0.018867924528301886,,,,0.06060606060606061,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.010869565217391304,,,,,
borderPatrol,6,immigration,3,0.0012335526315789473,1.2787536009528289,0.0015774098695964171,1.0,,0.02857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02631578947368421,,,,,,,,,,,,,,,,,,,,,0.043478260869565216,,,,,
obamaAdministration,6,formerPresident,4,0.0012335526315789473,1.153814864344529,0.0014232913622670997,1.0,0.024193548387096774,,,,0.01282051282051282,0.0027397260273972603,,0.015384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lawEnforcement,6,lawEnforcement,3,0.0012335526315789473,1.2787536009528289,0.0015774098695964171,1.0,,,,,,,0.0016778523489932886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043478260869565216,,,,,0.012195121951219513
michaelCohen,6,trumpStaff,2,0.0012335526315789473,1.4548448600085102,0.0017946277056026028,1.0,,,,,,,,,,,,,,,,,0.0035460992907801418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11904761904761904,
coreyLewandowski,6,trumpStaff,1,0.0012335526315789473,1.7558748556724915,0.002165964048938106,1.0,,,,,,,,,,,,0.11538461538461539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harassment,6,civilRights,3,0.0012335526315789473,1.2787536009528289,0.0015774098695964171,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.01694915254237288,,,,,,,,,,,,0.075,,,,0.038461538461538464,,,,,,,,,,,,,,,,,
bobNonini,6,republican,1,0.0012335526315789473,1.7558748556724915,0.002165964048938106,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10714285714285714,,,,,,,
tax,6,economy,4,0.0012335526315789473,1.153814864344529,0.0014232913622670997,1.0,,,,,,,0.0050335570469798654,,,,,,,,,,,0.018867924528301886,,,,,,,,,,,,,,,,,,,0.002369668246445498,,,,,,,,,,,,,,,,0.009009009009009009,,,,
god,6,religion,3,0.0012335526315789473,1.2787536009528289,0.0015774098695964171,1.0,,,,,,,,,,,,,,,,,0.0070921985815602835,,,,,,,,,,,,,0.012987012987012988,,,,,,,0.0071090047393364926,,,,,,,,,,,,,,,,,,,,
supplmentalNutritionAssistanceProgram,6,governmentProgram,1,0.0012335526315789473,1.7558748556724915,0.002165964048938106,1.0,,,,,,,,,,,,,,,,0.20689655172413793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dianneFienstein,6,democrat,1,0.0012335526315789473,1.7558748556724915,0.002165964048938106,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014218009478672985,,,,,,,,,,,,,,,,,,,,
economy,6,economy,4,0.0012335526315789473,1.153814864344529,0.0014232913622670997,1.0,,,,,,0.0027397260273972603,0.003355704697986577,,,,,,,,0.009900990099009901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018018018018018018,,,,
nafta,6,foreignTrade,2,0.0012335526315789473,1.4548448600085102,0.0017946277056026028,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022988505747126436,,,,,,,,,,,,,0.04878048780487805
infrastructure,6,governmentProgram,3,0.0012335526315789473,1.2787536009528289,0.0015774098695964171,1.0,,,,,,,,,,,,,,,0.019801980198019802,,0.010638297872340425,,,,,,,,,,,,,,0.02631578947368421,,,,,,,,,,,,,,,,,,,,,,,,,,
beijing,6,china,3,0.0012335526315789473,1.2787536009528289,0.0015774098695964171,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002369668246445498,,,,,,,,,,0.03225806451612903,,,,,,0.02702702702702703,,,,
clinton email investigation,6,clintonScandal,5,0.0012335526315789473,1.0569048513364727,0.001303747760694662,1.0,,,,,,,,,,0.010309278350515464,,,,,,,,,0.03571428571428571,,,,,,,,,,,,,,0.021739130434782608,0.014492753623188406,,,,,,,,,0.01904761904761905,,,,,,,,,,,,,,
data,6,privacy,2,0.0012335526315789473,1.4548448600085102,0.0017946277056026028,1.0,,,,,,,,,,,,,,,,0.06896551724137931,,,,,,,,,,,,,0.06153846153846154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peterStrzok,6,lawEnforcement,1,0.0012335526315789473,1.7558748556724915,0.002165964048938106,1.0,0.04838709677419355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sebastianGorka,5,intelligence,1,0.0010279605263157894,1.7558748556724915,0.001804970040781755,1.0,,,,,,0.0136986301369863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southKorea,5,northSouthKorea,3,0.0010279605263157894,1.2787536009528289,0.001314508224663681,1.0,,,,,,,0.0016778523489932886,,,,,,,,0.0297029702970297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016129032258064516,,,,,,,,,,
jesus,5,religion,1,0.0010279605263157894,1.7558748556724915,0.001804970040781755,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011848341232227487,,,,,,,,,,,,,,,,,,,,
paulRyan,5,republican,2,0.0010279605263157894,1.4548448600085102,0.001495523088002169,1.0,,,,,,,,,,,,,,,,,0.0035460992907801418,,,,,,,,,,,,,,,,,,,,0.009478672985781991,,,,,,,,,,,,,,,,,,,,
chrisCoons,5,democrat,2,0.0010279605263157894,1.4548448600085102,0.001495523088002169,1.0,,,,,,,0.0050335570469798654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,
secondamendment,5,guns,3,0.0010279605263157894,1.2787536009528289,0.001314508224663681,1.0,,,,,,,0.003355704697986577,,,,,,,,,,0.0070921985815602835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0136986301369863,,
integrity,5,ethics,4,0.0010279605263157894,1.153814864344529,0.0011860761352225832,1.0,,,,,,0.0027397260273972603,,,,0.010309278350515464,,,0.02127659574468085,,,,,0.018867924528301886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rickGates,5,russiaElectionInterference,2,0.0010279605263157894,1.4548448600085102,0.001495523088002169,1.0,,,,,,,0.0050335570469798654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,
abc news,5,media,3,0.0010279605263157894,1.2787536009528289,0.001314508224663681,1.0,,,,,0.01282051282051282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028985507246376812,,,,,,,0.08695652173913043,,,,,,,,,,,,,,,,
ambassador,5,internationalPolitics,4,0.0010279605263157894,1.153814864344529,0.0011860761352225832,1.0,,,,,,0.0027397260273972603,,,0.02702702702702703,,,,,,,,,,,,,,,,,,,,,,,,,0.014492753623188406,,,0.004739336492890996,,,,,,,,,,,,,,,,,,,,
officeOfInspectorGeneral,5,government,3,0.0010279605263157894,1.2787536009528289,0.001314508224663681,1.0,,,,,,,0.0016778523489932886,,,0.030927835051546393,,,0.010638297872340425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
houseIntelligenceCommittee,5,intelligence,4,0.0010279605263157894,1.153814864344529,0.0011860761352225832,1.0,,,,,,,,,,0.010309278350515464,,,,,,,0.0035460992907801418,,,,,,,,,,,,,,,,,,,,,0.04,,,,,0.009523809523809525,,,,,,,,,,,,,,
maryland,5,unitedStates,2,0.0010279605263157894,1.4548448600085102,0.001495523088002169,1.0,,,,,,,0.0016778523489932886,0.06153846153846154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
susanRice,5,controversy,1,0.0010279605263157894,1.7558748556724915,0.001804970040781755,1.0,,,,,,,,,,,,,,,,,,0.09433962264150944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jimJordan,5,republican,1,0.0010279605263157894,1.7558748556724915,0.001804970040781755,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10869565217391304,,,,,,,,,,,,,,,,,,,,,,,,
HRMcmaster,5,trumpStaff,1,0.0010279605263157894,1.7558748556724915,0.001804970040781755,1.0,,,,,,0.0136986301369863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rodRosenstein,5,judicial,4,0.0010279605263157894,1.153814864344529,0.0011860761352225832,1.0,,,,,,,,,,0.010309278350515464,,,0.010638297872340425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058823529411764705,,,0.025,,,
census,5,immigration,2,0.0010279605263157894,1.4548448600085102,0.001495523088002169,1.0,,,,,,,0.0016778523489932886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0784313725490196,,,,,,,,,,,,
gun,5,guns,3,0.0010279605263157894,1.2787536009528289,0.001314508224663681,1.0,,,,,,,0.0050335570469798654,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011235955056179775,,,,,,,,,,,,,,0.02040816326530612,,,,,,,,
pardon,5,judicial,2,0.0010279605263157894,1.4548448600085102,0.001495523088002169,1.0,,,,,,,0.003355704697986577,,0.08108108108108109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deathPenalty,5,lawEnforcement,1,0.0010279605263157894,1.7558748556724915,0.001804970040781755,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08928571428571429,,,,,,,
donation,5,election,4,0.0010279605263157894,1.153814864344529,0.0011860761352225832,1.0,,,,,,,0.0016778523489932886,,,,,,,,,,,,,,,,,,,,,,,0.012987012987012988,,,,0.028985507246376812,,,0.002369668246445498,,,,,,,,,,,,,,,,,,,,
student,5,education,4,0.0010279605263157894,1.153814864344529,0.0011860761352225832,1.0,,,,,,,,,,,,,,,0.009900990099009901,,,,,,,,,,,0.06666666666666667,,,,,,,,,,,0.002369668246445498,,,,,,,,,,,,,,,,,,0.0136986301369863,,
